Roll,Name,Branch,Department,Year,City,PPS,DSA,DS,COA,Chemistry,Maths,TotalMarks
101,Aarav,CS,Engineering,2022,Mumbai,73,73,58,99,81,33,417
102,Vivaan,DS,Science,2024,Lucknow,85,83,49,70,43,28,358
103,Aditya,CS,Science,2023,Delhi,61,55,84,74,94,73,441
104,Vihaan,DS,Science,2023,Mumbai,42,86,81,67,82,68,426
105,Arjun,IT,Science,2022,Mumbai,46,75,96,50,70,41,378
106,Sai,CS,Engineering,2024,Delhi,68,71,62,64,83,57,405
107,Reyansh,IT,Engineering,2022,Lucknow,64,38,29,60,36,70,297
108,Ayaan,CS,Science,2023,Mumbai,99,64,93,97,30,16,399
109,Krishna,IT,Science,2022,Lucknow,75,50,8,95,59,35,322
110,Ishaan,DS,Science,2023,Mumbai,42,54,47,66,39,99,347
111,Anaya,CS,Science,2022,Mumbai,85,26,57,63,82,70,383
112,Aadhya,DS,Engineering,2022,Delhi,91,64,97,53,58,30,393
113,Myra,DS,Engineering,2022,Delhi,66,27,48,71,92,57,361
114,Siya,CS,Engineering,2024,Lucknow,90,65,7,81,42,56,341
115,Avni,DS,Engineering,2024,Delhi,65,22,59,92,66,85,389
116,Diya,IT,Engineering,2022,Lucknow,98,75,20,56,48,39,336
117,Meera,IT,Science,2022,Mumbai,79,97,59,59,99,51,444
118,Ira,CS,Science,2024,Mumbai,92,51,78,63,63,48,395
119,Saanvi,IT,Engineering,2023,Lucknow,80,50,29,51,79,90,379
120,Pari,CS,Engineering,2023,Mumbai,96,47,99,56,61,96,455
121,Yash,DS,Engineering,2022,Lucknow,63,71,16,81,43,28,302
122,Rohan,DS,Science,2022,Lucknow,53,63,37,56,33,20,262
123,Laksh,IT,Engineering,2024,Delhi,72,73,64,88,85,41,423
124,Kunal,IT,Engineering,2022,Mumbai,65,59,28,89,60,53,354
125,Kabir,IT,Science,2022,Lucknow,72,60,80,77,65,66,420
126,Aryan,DS,Science,2024,Mumbai,49,93,79,53,69,94,437
127,Riya,CS,Engineering,2022,Mumbai,77,76,15,98,84,55,405
128,Tanya,IT,Engineering,2023,Mumbai,86,82,86,84,75,61,474
129,Shreya,CS,Science,2023,Mumbai,93,75,94,52,57,79,450
130,Naina,IT,Science,2024,Delhi,69,86,91,89,73,11,419
131,Rahul,IT,Engineering,2023,Lucknow,95,74,30,74,47,48,368
132,Sneha,IT,Engineering,2024,Delhi,45,99,39,88,97,15,383
133,Priya,CS,Science,2023,Lucknow,90,66,70,64,30,95,415
134,Dev,CS,Science,2024,Delhi,73,23,18,50,94,67,325
135,Manav,IT,Science,2023,Delhi,83,89,44,93,93,16,418
